@relation Carne
@attribute 'ph' real
@attribute 'L1' real
@attribute 'L2' real
@attribute 'L3' real
@attribute 'XL' real
@attribute 'a1' real
@attribute 'a2' real
@attribute 'a3' real
@attribute 'Xa' real
@attribute 'b1' real
@attribute 'b2' real
@attribute 'b3' real
@attribute 'Xb' real
@attribute 'PAP' real
@attribute 'TMP' real
@attribute 'Type' { 'n14', '14'}
@data
5.90,44.9,50.2,47.8,47.6,4.2,5.6,4.4,4.7,9.9,12.7,10.7,11.1,30.26,0.384,n14
5.84,47.9,53.5,51.4,50.9,2.5,4.6,3.4,3.5,8.8,12.3,10.4,10.5,26.59,0.439,n14
5.73,51.6,52.8,51.9,52.1,4.1,5.0,5.6,4.9,12.9,14.2,13.2,13.4,28.89,0.628,n14
5.69,53.0,53.7,55.0,53.9,4.9,3.2,5.4,4.5,12.8,12.8,14.2,13.3,27.67,0.584,n14
5.89,51.5,48.9,52.6,51.0,4.2,6.5,5.1,5.3,12.3,12.3,12.6,12.4,27.82,0.321,n14
5.95,46.7,50.4,51.5,49.5,5.5,6.0,6.0,5.8,11.3,14.2,14.2,13.2,20.36,0.261,n14
5.78,49.6,52.4,53.8,51.9,3.7,4.0,3.9,3.9,10.8,11.4,11.2,11.1,29.55,0.308,n14
5.71,50.9,51.9,49.2,50.7,3.6,5.9,7.1,5.5,11.6,13.1,12.8,12.5,27.08,0.380,n14
5.79,49.2,55.5,48.3,51.0,3.4,2.5,2.0,2.6,10.4,12.2,9.9,10.8,32.29,0.419,n14
6.12,50.8,49.8,45.8,48.8,8.1,5.3,5.2,6.2,13.3,11.7,9.8,11.6,27.92,0.528,14
5.83,59.4,59.1,56.2,58.2,5.9,3.9,4.9,4.9,15.9,14.8,15.7,15.5,28.32,0.461,14
5.80,52.9,52.5,52.7,52.7,6.3,8.0,8.1,7.5,14.7,15.9,15.8,15.5,26.11,0.744,14
5.68,54.7,57.6,52.1,54.8,9.2,10.7,7.1,9.0,18.2,20.3,16.5,18.3,32.58,0.535,14
5.09,52.1,56.3,53.4,53.9,4.8,3.7,4.4,4.3,12.4,13.4,12.7,12.8,31.10,0.364,14
5.89,53.1,55.1,55.8,54.7,3.6,3.9,4.0,3.8,13.1,13.6,13.8,13.5,28.00,0.462,14
5.82,53.9,56.7,54.2,54.9,5.2,4.2,4.1,4.5,13.1,13.3,11.7,12.7,29.42,0.447,14
5.70,53.9,53.8,55.4,54.4,5.9,4.9,4.9,5.2,14.6,13.4,14.5,14.2,29.28,0.436,14
5.84,52.8,54.3,55.8,54.3,4.0,7.1,4.8,5.3,12.9,15.3,14.9,14.4,25.90,0.443,14
5.83,50.9,52.9,51.8,51.9,5.0,6.0,7.4,6.1,13.2,13.3,13.1,13.2,21.93,0.501,14
5.87,50.8,51.1,49.9,50.6,4.6,4.5,3.8,4.3,10.3,10.3,9.6,10.1,20.02,0.527,14
5.98,55.5,55.9,54.5,55.3,4.1,2.8,3.5,3.5,13.1,11.5,11.9,12.2,24.95,0.381,14
5.80,50.7,52.8,56.1,53.2,5.4,6.4,5.3,5.7,11.7,12.1,13.8,12.5,26.45,0.500,14
5.80,55.2,54.8,52.0,54.0,3.1,4.7,4.8,4.2,13.4,14.2,10.5,12.7,22.78,0.367,14
5.90,48.5,53.9,53.8,52.1,4.8,8.5,5.7,6.3,10.1,15.1,12.7,12.6,24.70,0.450,14
5.69,53.6,55.4,55.6,54.9,6.4,2.4,4.5,4.4,12.0,12.7,15.3,13.3,28.75,0.499,14
5.77,53.2,54.2,55.0,54.1,6.7,7.6,5.7,6.7,15.4,16.5,14.3,15.4,24.42,0.464,14
5.70,52.0,53.1,51.7,52.3,8.0,10.2,8.2,8.8,16.9,18.6,16.5,17.3,27.86,0.398,14
5.58,56.8,57.4,55.3,56.5,3.1,5.9,4.8,4.6,13.1,15.7,13.7,14.2,20.79,0.412,14
5.98,55.1,53.5,57.6,55.4,3.7,4.6,4.0,4.1,13.7,12.6,13.0,13.1,26.48,0.407,14
5.61,57.3,57.6,54.9,56.6,8.8,8.1,8.0,8.3,16.9,15.7,16.7,16.4,30.37,0.494,14
5.70,54.0,52.8,56.8,54.5,8.1,6.6,5.8,6.8,13.7,12.2,13.4,13.1,29.99,0.338,14
5.84,51.4,51.7,55.0,52.7,6.1,9.9,7.1,7.7,13.7,15.9,13.6,14.4,24.90,0.519,14
5.73,53.5,52.4,52.8,52.9,10.1,9.2,8.3,9.2,14.7,15.3,14.2,14.7,27.61,0.446,14
5.72,55.6,57.9,54.2,55.9,5.8,5.9,5.8,5.8,16.6,17.3,15.4,16.4,28.49,0.373,14
5.70,53.3,54.6,54.3,54.1,8.8,4.2,6.0,6.3,13.5,12.3,13.7,13.2,27.24,0.402,14
6.02,53.1,53.9,52.6,53.2,5.8,3.0,5.0,4.6,13.0,11.2,11.9,12.0,21.07,0.411,14
5.62,52.3,62.6,52.5,55.8,9.5,2.6,7.4,6.5,19.1,17.3,17.4,17.9,30.10,0.549,14
5.53,51.4,52.6,53.3,52.4,5.7,7.1,7.7,6.8,14.0,14.7,15.5,14.7,34.52,0.474,14
5.54,49.9,52.8,56.8,53.2,6.0,6.6,3.9,5.5,11.7,12.9,13.4,12.7,33.31,0.320,14
5.75,53.6,51.1,53.6,52.8,6.7,4.4,5.3,5.5,16.7,14.9,16.8,16.1,33.04,0.320,14
5.74,51.8,50.6,51.6,51.3,6.9,4.3,4.7,5.3,16.1,12.5,15.5,14.7,29.02,0.333,14
5.70,52.8,47.8,52.6,51.1,6.2,4.4,4.4,5.0,13.7,10.3,12.0,12.0,32.73,0.512,14
5.70,53.3,54.6,52.2,53.4,6.3,5.1,6.2,5.9,14.2,13.4,14.0,13.9,23.58,0.393,14
5.63,55.4,50.9,51.9,52.7,7.3,9.7,6.5,7.8,13.3,12.4,11.3,12.3,24.92,0.478,14
5.75,54.4,58.7,54.7,55.9,3.6,5.2,3.6,4.1,11.1,14.2,11.3,12.2,31.60,0.387,14
5.86,49.4,50.8,51.8,50.7,4.5,4.4,5.6,4.8,9.8,11.0,12.2,11.0,28.22,0.427,14
5.93,47.6,51.4,52.0,50.3,7.7,12.6,10.0,10.1,11.5,13.3,15.2,13.3,22.58,0.360,14
5.86,53.2,57.4,51.5,54.0,6.7,4.7,3.8,5.1,12.6,12.9,9.9,11.8,71.87,0.347,14
